h,h_label,r,t,t_label,tau_start,l_h_lat,l_h_lon,l_t_lat,l_t_lon,__file,tau_end,vi_context,source
Q926076,Nguyễn Vũ Phong,bornIn,Q34789,Vĩnh Long,1985.0,,,10.2537,105.9723,historical_figures.csv,,,
Q716809,Trần Dụ Tông,bornIn,Q1858,Hà Nội,1336.0,,,21.0245,105.84117,historical_figures.csv,,,
Q971069,Lôrensô Chu Văn Minh,bornIn,Q33682,Nam Định,1943.0,,,20.42,106.16833333333,historical_figures.csv,,,
Q711408,Lý Cao Tông,bornIn,Q1858,Hà Nội,1173.0,,,21.0245,105.84117,historical_figures.csv,,,
Q926022,Nguyễn Huy Hoàng,bornIn,Q36587,Nghệ An,1981.0,,,19.333333333333,104.83333333333,historical_figures.csv,,,
Q958407,Lê Phổ,bornIn,Q546840,Hà Đông,1907.0,,,20.97148,105.776421,historical_figures.csv,,,
Q1013830,Kiều Công Tiễn,bornIn,Q7187240,Phong Châu,850.0,,,21.2817,105.442,historical_figures.csv,,,
Q700516,Văn Tiến Dũng,bornIn,Q1858,Hà Nội,1917.0,,,21.0245,105.84117,historical_figures.csv,,,
Q553710,Lê Huỳnh Châu,bornIn,Q1854,Thành phố Hồ Chí Minh,1987.0,,,10.775555555556,106.70194444444,historical_figures.csv,,,
Q451101,Gioan Baotixita Phạm Minh Mẫn,bornIn,Q25262,Cà Mau,1934.0,,,9.1833333333333,105.15,historical_figures.csv,,,
Q75404,Phan Khôi,bornIn,Q725063,Điện Bàn,1887.0,,,15.888472222222,108.25456666667,historical_figures.csv,,,
Q513108,Trịnh Công Sơn,bornIn,Q33469,Buôn Ma Thuột,1939.0,,,12.666666666667,108.05,historical_figures.csv,,,
Q522266,Micae Nguyễn Khắc Ngữ,bornIn,Q7913303,Vân Đồn,1909.0,,,21.069369,107.420241,historical_figures.csv,,,
Q465598,Hiệp Hòa,bornIn,Q36167,Huế,1847.0,,,16.456111111111,107.57638888889,historical_figures.csv,,,
Q434442,Bằng Kiều,bornIn,Q1858,Hà Nội,1973.0,,,21.0245,105.84117,historical_figures.csv,,,
Q484988,Bảo Ninh,bornIn,Q36587,Nghệ An,1952.0,,,19.333333333333,104.83333333333,historical_figures.csv,,,
Q334419,Dương Văn Minh,bornIn,Q33425,Mỹ Tho,1916.0,,,10.36,106.36,historical_figures.csv,,,
Q379489,Phan Văn Khải,bornIn,Q1151196,Củ Chi,1933.0,,,10.97333,106.49325,historical_figures.csv,,,
Q513054,Vũ Hoàng My,bornIn,Q33271,Đồng Nai,1988.0,,,11.110278,107.181111,historical_figures.csv,,,
Q465259,Hồ Xuân Hương,bornIn,Q881,Việt Nam,1772.0,,,16.0,108.0,historical_figures.csv,,,
Q488644,Nguyễn Văn Hiếu,bornIn,Q11736,Thiên Tân,1929.0,,,39.146666666667,117.20555555556,historical_figures.csv,,,
Q446909,Nguyễn Thị Bình,bornIn,Q7395508,Sa Đéc,1927.0,,,10.2843923,105.7039677,historical_figures.csv,,,
Q153576,Nguyễn Linh Nga,bornIn,Q1858,Hà Nội,1982.0,,,21.0245,105.84117,historical_figures.csv,,,
Q586004,Nguyễn Nhạc,bornIn,Q36693,Bình Định,1743.0,,,14.166666666667,109.0,historical_figures.csv,,,
Q271847,Thích Quảng Đức,bornIn,Q10834109,Vạn Khánh,1897.0,,,12.768333333333,109.25444444444,historical_figures.csv,,,
Q578066,Như Loan,bornIn,Q35620,Bảo Lộc,1981.0,,,11.547980555556,107.80771944444,historical_figures.csv,,,
Q128066,Khuông Việt,bornIn,Q1858,Hà Nội,933.0,,,21.0245,105.84117,historical_figures.csv,,,
Q545539,Trường Chinh,bornIn,Q33304,Quảng Ngãi,1907.0,,,15.0,108.66666666667,historical_figures.csv,,,
Q182224,Nguyễn Hải Thần,bornIn,Q864581,Thường Tín,1890.0,,,20.84537,105.87279,historical_figures.csv,,,
Q353687,Phạm Tuân,bornIn,Q10810909,Quốc Tuấn,1947.0,,,20.47527778,106.4333333,historical_figures.csv,,,
Q460811,Kim Thúy,bornIn,Q1854,Thành phố Hồ Chí Minh,1968.0,,,10.775555555556,106.70194444444,historical_figures.csv,,,
