h,h_label,r,t,t_label,tau_start,l_h_lat,l_h_lon,l_t_lat,l_t_lon
Q967516,Hoàng Cầm,bornIn,Q36736,Bắc Giang,1922,,,21.27356,106.192209
Q1827063,Phạm Văn Sơn,bornIn,Q546840,Hà Đông,1915,,,20.97148,105.776421
Q2971491,Hoàng Văn Phong,bornIn,Q1858,Hà Nội,1948,,,21.0245,105.84117
Q959607,Nguyễn Phúc Bảo Long,bornIn,Q36167,Huế,1936,,,16.456111111111,107.57638888889
Q705534,Phan Huy Quát,bornIn,Q10826143,Thạch Châu,1911,,,18.43888889,105.8930556
Q711441,Trần Anh Tông,bornIn,Q1858,Hà Nội,1276,,,21.0245,105.84117
Q3353072,Ngô Quang Trưởng,bornIn,Q505503,Miền Nam,1929,,,,
Q1349749,Phạm Hùng,bornIn,Q7333405,Vĩnh Long,1912,,,10.166666666667,106.0
Q10788673,Lệ Quyên,bornIn,Q1858,Hà Nội,1981,,,21.0245,105.84117
Q1387184,Phan Thanh Bình,bornIn,Q6473680,Lai Vung,1986,,,10.217,105.667
Q1086832,Cù Huy Hà Vũ,bornIn,Q10838746,Ân Phú,1957,,,,
Q1451220,Phanxicô Xaviê Nguyễn Quang Sách,bornIn,Q25282,Đà Nẵng,1925,,,16.069444444444,108.20972222222
Q838128,Năm Cam,bornIn,Q1854,Thành phố Hồ Chí Minh,1948,,,10.775555555556,106.70194444444
Q1460430,Phaolô Nguyễn Thanh Hoan,bornIn,Q36587,Nghệ An,1939,,,19.333333333333,104.83333333333
Q1669434,Giuse Nguyễn Chí Linh,bornIn,Q10771691,Hải Thanh,1949,,,19.431666666667,105.80638888889
Q3378039,Phan Huy Lê,bornIn,Q10826143,Thạch Châu,1934,,,18.437222222222,105.88722222222
Q2986223,Lê Thái Tông,bornIn,Q1858,Hà Nội,1423,,,21.0245,105.84117
Q271847,Thích Quảng Đức,bornIn,Q10834109,Vạn Khánh,1897,,,12.7775,109.2597222
Q250947,Trương Định,bornIn,Q4914341,Bình Sơn,1820,,,15.333,108.667
Q10788342,Lương Kim Định,bornIn,Q33682,Nam Định,1914,,,20.42,106.16833333333
Q1812156,Nguyễn Chí Thanh,bornIn,Q36399,Huế,1913,,,16.463888888889,107.58666666667
Q1355838,Lê Sáng,bornIn,Q1858,Hà Nội,1920,,,21.0245,105.84117
Q971069,Lôrensô Chu Văn Minh,bornIn,Q33682,Nam Định,1943,,,20.42,106.16833333333
Q711408,Lý Cao Tông,bornIn,Q1858,Hà Nội,1173,,,21.0245,105.84117
Q1669434,Giuse Nguyễn Chí Linh,bornIn,Q10771691,Hải Thanh,1949,,,19.42,105.7891667
Q358051,Phạm Văn Đồng,bornIn,Q33304,Quảng Ngãi,1906,,,15.0,108.66666666667
Q284978,Hoàng Thanh Trang,bornIn,Q1858,Hà Nội,1980,,,21.0245,105.84117
Q3248362,Lê Quang Đỉnh,diedIn,Q1854,Thành phố Hồ Chí Minh,2024,,,10.775555555556,106.70194444444
Q716497,Trần Hiến Tông,diedIn,Q206219,Hoàng thành Thăng Long,1341,,,21.0325,105.83972
Q1033943,Lê Ý Tông,diedIn,Q1858,Hà Nội,1759,,,21.0245,105.84117
Q10797176,Nam Trân,diedIn,Q1858,Hà Nội,1967,,,21.0245,105.84117
Q10798992,Nguyễn Cao Đàm,diedIn,Q408,Úc,2001,,,-25.0,133.0
Q10840158,Đinh Xuân Lâm,diedIn,Q1858,Hà Nội,2017,,,21.0245,105.84117
Q1156424,Hằng Phương,diedIn,Q1858,Hà Nội,1983,,,21.0245,105.84117
Q614544,Nguyễn Phúc Bảo Thăng,diedIn,Q200126,Quận 18,2017,,,48.89215,2.3444472222222
Q1073424,Huy Cận,diedIn,Q1858,Hà Nội,2005,,,21.0245,105.84117
Q10788342,Lương Kim Định,diedIn,Q1581,Missouri,1997,,,38.5,-92.5
Q3132804,Phạm Xuân Ẩn,diedIn,Q1854,Thành phố Hồ Chí Minh,2006,,,10.775555555556,106.70194444444
Q1354244,Nguyễn Lộc,diedIn,Q1854,Thành phố Hồ Chí Minh,1960,,,10.775555555556,106.70194444444
Q1317986,Lê Trung Tông,diedIn,Q2421186,Cố đô Hoa Lư,1005,,,20.25527778,105.95416667
Q980927,Trần Quang Hải,diedIn,Q549536,Limeil-Brévannes,2021,,,48.746388888889,2.4883333333333
